kun:훈 勳熏燻訓
kutu:굴 堀屈
kuu:강 腔
kuu:공 孔控空
kwa:과 戈果科菓課過鍋
kwa:위 僞
kwa:화 樺火譁貨
kwag:광 光壙廣曠洸胱
kwag:황 恍慌荒
kwai:외 嵬
kwaku:곽 槨
kwaku:확 廓擴
kwan:관 冠官棺款灌管罐菅觀貫
kwan:완 完浣緩莞
kwan:한 澣
kwan:환 丸喚奐宦幻患換歡桓渙煥環驩
kwatu:괄 括
kwatu:활 滑活猾豁
kwe:과 寡瓜誇跨
kwe:괘 卦掛
kwe:괴 乖傀塊怪
kwe:비 匕
kwe:와 蝸
kwe:화 化花華
kwe:회 恢悔晦檜灰獪膾誨
kwe:훼 喙
kweg:형 螢
kwei:계 桂
kwei:규 圭奎珪
kwen:견 犬
kwen:관 慣關
kwen:권 倦券勸卷圈拳捲權
kwen:연 娟涓
kwen:현 懸玄眩絢縣衒鉉
kwen:훤 喧暄
kweti:괄 刮
kwetu:결 決
kwetu:굴 掘
kwetu:궐 厥獗蕨蹶
kwetu:혈 穴血
kwetu:휼 譎
kwi:괴 愧
kwi:궤 櫃詭軌
kwi:귀 歸貴鬼
kwi:규 逵
kwi:위 危
kwi:훼 卉
kwi:휘 徽揮暉輝
kwin:군 窘
kwin:균 菌
kwyag:광 匡狂筐
kwyag:형 兄
kwyag:황 況
kwyaku:규 硅
kwyaku:확 攫
kya:가 伽伽茄迦
kyag:강 姜彊疆羌薑襁
kyag:갱 坑粳
kyag:경 更京傾勁卿境庚徑慶憬敬景梗烱磬竟競絅經耕耿警輕逕鏡頃頸驚
kyag:행 杏
kyag:향 享向嚮響饗
kyag:형 炯荊
kyaku:각 却脚
kyaku:객 喀
kyaku:격 格激膈
kyaku:극 戟
kyaku:학 謔
kyaku:혁 赫
kyo:거 倨去居巨拒据據擧渠炬距踞遽鉅
kyo:허 墟
kyog:공 供共恐恭拱
kyog:긍 兢矜
kyog:흉 兇凶匈洶
kyoku:곡 曲
kyoku:국 局
kyoku:극 棘極
kyoku:욱 旭
kyug:궁 宮弓穹窮
ma:마 摩磨魔
mag:망 妄忘忙望網罔芒茫
mai:매 媒昧
mai:미 米
maku:막 寞幕漠
man:만 滿漫瞞饅
matu:말 末沫茉
me:마 瑪痲碼馬
me:매 埋妹枚梅煤罵買賣邁
mei:미 謎迷
men:만 娩慢蠻
men:면 免冕勉棉眄綿緬面
metu:멸 滅
meu:모 茅
meu:묘 卯妙廟描昴渺猫苗
meu:초 秒
mi:매 寐
mi:미 味媚尾嵋彌微未梶眉美薇靡
min:면 眠
min:민 岷愍憫敏旻民泯緡
mitu:밀 密蜜
miu:류 謬
mo:막 膜莫
mo:말 抹
mo:망 莽
mo:모 募姆慕摸模謨
mo:묘 墓
mog:방 尨
moku:목 木沐牧目睦穆
moku:묵 墨
mon:만 万卍挽晩曼萬蔓輓
mon:문 們問文紊紋聞蚊門
mon:민 悶
moti:말 襪
moti:몰 歿
moti:물 勿
mou:모 冒帽毛瑁耗
mu:망 亡
mu:모 侮暮某母牟牡眸矛謀
mu:몽 夢朦
mu:무 務憮懋戊拇无楙武毋無舞茂蕪貿霧
myag:맹 孟氓猛盲盟
myag:명 冥名命明暝溟皿瞑茗螟酩銘
myaku:골 汨
myaku:맥 脈驀
myaku:멱 冪
na:나 儺娜拿
na:라 拏
nai:내 奈
nai:이 泥
naku:락 諾
nam:남 南楠男
nan:난 煖難
nau:노 瑙
nau:뇌 惱腦
nem:념 拈
nem:염 念
nem:점 粘鮎
nen:연 年撚
nep:염 捻
neti:열 涅
netu:날 捏
neu:요 尿
ni:니 尼
no:내 乃
nog:농 膿
non:난 暖
nu:노 努奴弩駑
nu:로 怒
nyag:낭 娘
nyag:양 孃釀
nyag:영 寧獰
nyaku:익 溺
nyou:여 女
nyug:농 濃
o:애 哀愛曖
og:응 應膺
oku:억 億憶抑檍
oku:옥 沃
om:암 庵暗菴
om:염 厭
om:음 蔭陰音
on:언 偃堰
on:은 恩慇殷
oti:알 謁
ra:나 邏
ra:라 羅蘿螺裸
rag:랑 廊朗狼琅瑯螂
rai:라 癩
rai:래 來徠
rai:뢰 磊儡賚
raku:락 洛烙珞落酪絡
raku:요 樂
ram:람 嵐濫藍攬欖籃纜襤
ran:라 懶
ran:란 卵欄爛蘭欒瀾
ran:랑 浪
ran:만 巒
rap:랍 臘
ratu:라 喇
ratu:랄 剌
rau:로 勞老撈
rau:뢰 牢
rei:려 儷藜蠣
rei:여 勵礪
rei:예 例禮醴隸
rem:렴 斂濂
rem:염 廉簾
ren:련 攣
ren:연 憐戀漣煉練聯蓮輦連
rep:어 漁
rep:엽 獵
retu:렬 冽洌
retu:열 列劣烈裂
reu:료 廖瞭聊
reu:요 了僚寮料燎療遼寥
ri:리 俚悧浬犁狸璃籬莉釐
ri:여 驪麗
ri:이 利吏履李梨理痢罹裏裡里離
rim:림 琳
rim:임 林淋臨
rin:륜 侖綸
rin:린 躪
rin:윤 倫淪輪
rin:인 吝燐藺隣鱗
rip:입 笠
ritu:율 律慄栗
ritu:입 立
rog:롱 瀧
roku:록 祿鹿
roku:륵 勒
